Película;Año;Imdb Score
The Return of the Living Dead;1985;7,3
A Mighty Wind;2003;7,3
The Guard;2011;7,3
Videodrome;1983;7,3
L'auberge espagnole;2002;7,3
Somewhere in Time;1980;7,3
Monster;2003;7,3
The Man from Snowy River;1982;7,3
Eve's Bayou;1997;7,3
Soul Kitchen;2009;7,3
Out of the Blue;2006;7,3
Exiled;2006;7,3
Sexy Beast;2000;7,3
The Crying Game;1992;7,3
The Return of the Living Dead;1985;7,3
The Front Page;1974;7,3
They Live;1988;7,3
Talk Radio;1988;7,3
Down for Life;2009;7,3
Four Lions;2010;7,3
Friday;1995;7,3
The Ballad of Cable Hogue;1970;7,3
Coming Home;2014;7,3
Tsotsi;2005;7,3
Fish Tank;2009;7,3
Pocketful of Miracles;1961;7,3
The Brave Little Toaster;1987;7,3
Sleeper;1973;7,3
Dinner Rush;2000;7,3
Submarine;2010;7,3
Beasts of the Southern Wild;2012;7,3
Songcatcher;2000;7,3
The Bubble;2006;7,3
Dr. No;1962;7,3
I Origins;2014;7,3
Once in a Lifetime: The Extraordinary Story of the New York Cosmos;2006;7,3
The Party's Over;1965;7,3
The Horror Network Vol. 1;2015;7,3
The Hammer;2007;7,3
Twin Falls Idaho;1999;7,3
Mean Creek;2004;7,3
Scott Walker: 30 Century Man;2006;7,3
Dogtooth;2009;7,3
Cube;1997;7,3
Shotgun Stories;2007;7,3
The Woman Chaser;1999;7,3
The Mighty;1998;7,3
Super Size Me;2004;7,3
The Call of Cthulhu;2005;7,3
In the Company of Men;1997;7,3
Furious 7;2015;7,2
True Lies;1994;7,2
Starship Troopers;1997;7,2
Shrek 2;2004;7,2
Agora;2009;7,2
GoldenEye;1995;7,2
Shooter;2007;7,2
Coach Carter;2005;7,2
The Ghost Writer;2010;7,2
Micmacs;2009;7,2
The Karate Kid;1984;7,2
A League of Their Own;1992;7,2
Amistad;1997;7,2
The Doors;1991;7,2
Secretariat;2010;7,2
Black Water Transit;2009;7,2
The Age of Innocence;1993;7,2
Men of Honor;2000;7,2
About Schmidt;2002;7,2
Little Nicholas;2009;7,2
Star Trek VI: The Undiscovered Country;1991;7,2
Silverado;1985;7,2
Carnage;2011;7,2
The Princess and the Cobbler;1993;7,2
The End of the Affair;1999;7,2
In the Valley of Elah;2007;7,2
Arlington Road;1999;7,2
Team America: World Police;2004;7,2
Scream;1996;7,2
Catch-22;1970;7,2
The Salton Sea;2002;7,2
Metallica Through the Never;2013;7,2
Day of the Dead;1985;7,2
White Oleander;2002;7,2
Remember Me;2010;7,2
Highlander;1986;7,2
What's Love Got to Do with It;1993;7,2
Whatever Works;2009;7,2
District B13;2004;7,2
The Mist;2007;7,2
Brother;2000;7,2
Gremlins;1984;7,2
Major League;1989;7,2
The Dead Zone;1983;7,2
A Better Life;2011;7,2
Nicholas Nickleby;2002;7,2
Owning Mahowny;2003;7,2
The Savages;2007;7,2
The Lost Boys;1987;7,2
Silmido;2003;7,2
The Karate Kid;1984;7,2
Made in Dagenham;2010;7,2
Restless;2012;7,2
Narc;2002;7,2
Harry Brown;2009;7,2
Desperado;1995;7,2
The Descent;2005;7,2
Mother and Child;2009;7,2
Two Lovers and a Bear;2016;7,2
The Four Seasons;1981;7,2
The Andromeda Strain;1971;7,2
Mallrats;1995;7,2
Escape from New York;1981;7,2
The Virgin Suicides;1999;7,2
11:14;2003;7,2
A Shine of Rainbows;2009;7,2
Chariots of Fire;1981;7,2
Le Havre;2011;7,2
The Apostle;1997;7,2
Diner;1982;7,2
Of Gods and Men;2010;7,2
Out of the Blue;1980;7,2
Sleep Tight;2011;7,2
The Names of Love;2010;7,2
Fast Times at Ridgemont High;1982;7,2
Tango;1998;7,2
Day of the Dead;1985;7,2
Dave Chappelle's Block Party;2005;7,2
Love's Abiding Joy;2006;7,2
Timecrimes;2007;7,2
Mi America;2015;7,2
Smoke Signals;1998;7,2
Brotherly Love;2015;7,2
Nowhere Boy;2009;7,2
Deadline - U.S.A.;1952;7,2
Caramel;2007;7,2
Mississippi Mermaid;1969;7,2
Exotica;1994;7,2
Trees Lounge;1996;7,2
The Trouble with Harry;1955;7,2
The Knife of Don Juan;2013;7,2
Sands of Iwo Jima;1949;7,2
Shine a Light;2008;7,2
Frozen River;2008;7,2
Bubba Ho-Tep;2002;7,2
Brigham City;2001;7,2
Hidden Away;2014;7,2
Latter Days;2003;7,2
Ruby in Paradise;1993;7,2
Raising Victor Vargas;2002;7,2
Live-In Maid;2004;7,2
The Mudge Boy;2003;7,2
Irreplaceable;2016;7,2
The Harvest/La Cosecha;2011;7,2
The Outrageous Sophie Tucker;2014;7,2
Tarnation;2003;7,2
Censored Voices;2015;7,2
Anderson's Cross;2010;7,2
Better Luck Tomorrow;2002;7,2
Short Cut to Nirvana: Kumbh Mela;2004;7,2
An American Girl Holiday;2004;7,2
An American in Hollywood;2014;7,2
Jason Bourne;2016;7,1
The Patriot;2000;7,1
Valkyrie;2008;7,1
Enchanted;2007;7,1
Arthur Christmas;2011;7,1
Dredd;2012;7,1
Charlie Wilson's War;2007;7,1
The Kingdom;2007;7,1
Jarhead;2005;7,1
Two Brothers;2004;7,1
We Were Soldiers;2002;7,1
Body of Lies;2008;7,1
RED;2010;7,1
Anastasia;1997;7,1
Payback;1999;7,1
The Muppets;2011;7,1
Blade;1998;7,1
Dredd;2012;7,1
Nixon;1995;7,1
The Warlords;2007;7,1
The Horseman on the Roof;1995;7,1
The Young and Prodigious T.S. Spivet;2013;7,1
The Merchant of Venice;2004;7,1
The Color of Freedom;2007;7,1
Confessions of a Dangerous Mind;2002;7,1
The Jacket;2005;7,1
Florence Foster Jenkins;2016;7,1
About a Boy;2002;7,1
Lords of Dogtown;2005;7,1
Michael Collins;1996;7,1
Little White Lies;2010;7,1
Pitch Black;2000;7,1
Spaceballs;1987;7,1
There's Something About Mary;1998;7,1
Away We Go;2009;7,1
Jackass 3D;2010;7,1
School of Rock;2003;7,1
The Quiet American;2002;7,1
Mrs Henderson Presents;2005;7,1
A Scanner Darkly;2006;7,1
The Children of Huang Shi;2008;7,1
The Devil's Double;2011;7,1
Bad Santa;2003;7,1
Being Julia;2004;7,1
Becoming Jane;2007;7,1
Welcome to the Sticks;2008;7,1
Wag the Dog;1997;7,1
Shinjuku Incident;2009;7,1
The Spy Who Loved Me;1977;7,1
Find Me Guilty;2006;7,1
Infamous;2006;7,1
WarGames;1983;7,1
Ravenous;1999;7,1
The Dangerous Lives of Altar Boys;2002;7,1
Fateless;2005;7,1
Jackass Number Two;2006;7,1
Phone Booth;2002;7,1
Kinsey;2004;7,1
Tremors;1990;7,1
The Long Riders;1980;7,1
The Limey;1999;7,1
The House of Mirth;2000;7,1
Melancholia;2011;7,1
Red Riding: In the Year of Our Lord 1974;2009;7,1
Beneath Hill 60;2010;7,1
Limbo;1999;7,1
8 Women;2002;7,1
Get Low;2009;7,1
Dressed to Kill;1980;7,1
Winter in Wartime;2008;7,1
The Protector;2005;7,1
The Return of the Pink Panther;1975;7,1
Green Room;2015;7,1
Bottle Rocket;1996;7,1
State Fair;1945;7,1
Love and Death on Long Island;1997;7,1
Secretary;2002;7,1
Holy Motors;2012;7,1
The Pirate;1948;7,1
Human Traffic;1999;7,1
Thirteen Conversations About One Thing;2001;7,1
Ulee's Gold;1997;7,1
My Own Private Idaho;1991;7,1
Marilyn Hotchkiss' Ballroom Dancing and Charm School;1990;7,1
8: The Mormon Proposition;2010;7,1
Boom Town;1940;7,1
24 7: Twenty Four Seven;1997;7,1
Bananas;1971;7,1
River's Edge;1986;7,1
Waitress;2007;7,1
Closer to the Moon;2014;7,1
The Ballad of Gregorio Cortez;1982;7,1
Niagara;1953;7,1
The Charge of the Light Brigade;1936;7,1
Charly;1968;7,1
Food Chains;2014;7,1
Hard Candy;2005;7,1
To Save a Life;2009;7,1
Deceptive Practice: The Mysteries and Mentors of Ricky Jay;2012;7,1
Conversations with Other Women;2005;7,1
Blue Ruin;2013;7,1
Quinceañera;2006;7,1
Pieces of April;2003;7,1
Wendy and Lucy;2008;7,1
Along the Roadside;2013;7,1
Bronson;2008;7,1
Heroes of Dirt;2015;7,1
Top Spin;2014;7,1
Open Secret;1948;7,1
Slacker;1991;7,1
Prometheus;2012;7,0
Legend of the Guardians: The Owls of Ga'Hoole;2010;7,0
Spy Game;2001;7,0
Batman Returns;1992;7,0
Déjà Vu;1997;7,0
Seven Years in Tibet;1997;7,0
The X Files;1998;7,0
ParaNorman;2012;7,0
Meet the Parents;2000;7,0
Syriana;2005;7,0
Out of Sight;1998;7,0
Curse of the Golden Flower;2006;7,0
Unleashed;2005;7,0
Chicken Run;2000;7,0
Cleopatra;1963;7,0
Julie & Julia;2009;7,0
Rent;2005;7,0
Frankenweenie;2012;7,0
